,Year,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Home team points,Away team points
0,1930,France,4,1,Mexico,3,0
1,1930,USA,3,0,Belgium,3,0
2,1930,Yugoslavia,2,1,Brazil,3,0
3,1930,Romania,3,1,Peru,3,0
4,1930,Argentina,1,0,France,3,0
5,1930,Chile,3,0,Mexico,3,0
6,1930,Yugoslavia,4,0,Bolivia,3,0
7,1930,USA,3,0,Paraguay,3,0
8,1930,Uruguay,1,0,Peru,3,0
9,1930,Chile,1,0,France,3,0
10,1930,Argentina,6,3,Mexico,3,0
11,1930,Brazil,4,0,Bolivia,3,0
12,1930,Paraguay,1,0,Belgium,3,0
13,1930,Uruguay,4,0,Romania,3,0
14,1930,Argentina,3,1,Chile,3,0
15,1930,Argentina,6,1,USA,3,0
16,1930,Uruguay,6,1,Yugoslavia,3,0
17,1930,Uruguay,4,2,Argentina,3,0
18,1934,Austria,3,2,France,3,0
19,1934,Hungary,4,2,Egypt,3,0
20,1934,Switzerland,3,2,Netherlands,3,0
21,1934,Sweden,3,2,Argentina,3,0
22,1934,Germany,5,2,Belgium,3,0
23,1934,Spain,3,1,Brazil,3,0
24,1934,Italy,7,1,USA,3,0
25,1934,Czechoslovakia,2,1,Romania,3,0
26,1934,Czechoslovakia,3,2,Switzerland,3,0
27,1934,Germany,2,1,Sweden,3,0
28,1934,Italy,1,1,Spain,1,1
29,1934,Austria,2,1,Hungary,3,0
30,1934,Italy,1,0,Spain,3,0
31,1934,Italy,1,0,Austria,3,0
32,1934,Czechoslovakia,3,1,Germany,3,0
33,1934,Germany,3,2,Austria,3,0
34,1934,Italy,2,1,Czechoslovakia,3,0
35,1938,Switzerland,1,1,Germany,1,1
36,1938,Hungary,6,0,Dutch East Indies,3,0
37,1938,France,3,1,Belgium,3,0
38,1938,Cuba,3,3,Romania,1,1
39,1938,Italy,2,1,Norway,3,0
40,1938,Brazil,6,5,Poland,3,0
41,1938,Czechoslovakia,3,0,Netherlands,3,0
42,1938,Cuba,2,1,Romania,3,0
43,1938,Switzerland,4,2,Germany,3,0
44,1938,Brazil,1,1,Czechoslovakia,1,1
45,1938,Hungary,2,0,Switzerland,3,0
46,1938,Sweden,8,0,Cuba,3,0
47,1938,Italy,3,1,France,3,0
48,1938,Brazil,2,1,Czechoslovakia,3,0
49,1938,Hungary,5,1,Sweden,3,0
50,1938,Italy,2,1,Brazil,3,0
51,1938,Brazil,4,2,Sweden,3,0
52,1938,Italy,4,2,Hungary,3,0
53,1950,Brazil,4,0,Mexico,3,0
54,1950,England,2,0,Chile,3,0
55,1950,Spain,3,1,USA,3,0
56,1950,Sweden,3,2,Italy,3,0
57,1950,Yugoslavia,3,0,Switzerland,3,0
58,1950,Brazil,2,2,Switzerland,1,1
59,1950,Yugoslavia,4,1,Mexico,3,0
60,1950,Spain,2,0,Chile,3,0
61,1950,Sweden,2,2,Paraguay,1,1
62,1950,USA,1,0,England,3,0
63,1950,Brazil,2,0,Yugoslavia,3,0
64,1950,Spain,1,0,England,3,0
65,1950,Italy,2,0,Paraguay,3,0
66,1950,Uruguay,8,0,Bolivia,3,0
67,1950,Switzerland,2,1,Mexico,3,0
68,1950,Chile,5,2,USA,3,0
69,1950,Uruguay,2,2,Spain,1,1
70,1950,Brazil,7,1,Sweden,3,0
71,1950,Brazil,6,1,Spain,3,0
72,1950,Uruguay,3,2,Sweden,3,0
73,1950,Sweden,3,1,Spain,3,0
74,1950,Uruguay,2,1,Brazil,3,0
75,1954,Uruguay,2,0,Czechoslovakia,3,0
76,1954,Austria,1,0,Scotland,3,0
77,1954,Brazil,5,0,Mexico,3,0
78,1954,Yugoslavia,1,0,France,3,0
79,1954,Germany,4,1,Turkey,3,0
80,1954,Hungary,9,0,Korea Republic,3,0
81,1954,England,4,4,Belgium,1,1
82,1954,Switzerland,2,1,Italy,3,0
83,1954,Uruguay,7,0,Scotland,3,0
84,1954,Austria,5,0,Czechoslovakia,3,0
85,1954,France,3,2,Mexico,3,0
86,1954,Brazil,1,1,Yugoslavia,1,1
87,1954,Hungary,8,3,Germany,3,0
88,1954,Turkey,7,0,Korea Republic,3,0
89,1954,England,2,0,Switzerland,3,0
90,1954,Italy,4,1,Belgium,3,0
91,1954,Germany,7,2,Turkey,3,0
92,1954,Switzerland,4,1,Italy,3,0
93,1954,Uruguay,4,2,England,3,0
94,1954,Austria,7,5,Switzerland,3,0
95,1954,Germany,2,0,Yugoslavia,3,0
96,1954,Hungary,4,2,Brazil,3,0
97,1954,Germany,6,1,Austria,3,0
98,1954,Hungary,4,2,Uruguay,3,0
99,1954,Austria,3,1,Uruguay,3,0
100,1954,Germany,3,2,Hungary,3,0
101,1958,Sweden,3,0,Mexico,3,0
102,1958,Soviet Union,2,2,England,1,1
103,1958,Argentina,1,3,Germany,0,3
104,1958,Hungary,1,1,Wales,1,1
105,1958,France,7,3,Paraguay,3,0
106,1958,Yugoslavia,1,1,Scotland,1,1
107,1958,Brazil,3,0,Austria,3,0
108,1958,Northern Ireland,1,0,Czechoslovakia,3,0
109,1958,Brazil,0,0,England,1,1
110,1958,Mexico,1,1,Wales,1,1
111,1958,Paraguay,3,2,Scotland,3,0
112,1958,Yugoslavia,3,2,France,3,0
113,1958,Soviet Union,2,0,Austria,3,0
114,1958,Germany,2,2,Czechoslovakia,1,1
115,1958,Argentina,3,1,Northern Ireland,3,0
116,1958,Sweden,2,1,Hungary,3,0
117,1958,Sweden,0,0,Wales,1,1
118,1958,Brazil,2,0,Soviet Union,3,0
119,1958,Germany,2,2,Northern Ireland,1,1
120,1958,Hungary,4,0,Mexico,3,0
121,1958,Paraguay,3,3,Yugoslavia,1,1
122,1958,France,2,1,Scotland,3,0
123,1958,England,2,2,Austria,1,1
124,1958,Czechoslovakia,6,1,Argentina,3,0
125,1958,Soviet Union,1,0,England,3,0
126,1958,Northern Ireland,2,1,Czechoslovakia,3,0
127,1958,Wales,2,1,Hungary,3,0
128,1958,Brazil,1,0,Wales,3,0
129,1958,Germany,1,0,Yugoslavia,3,0
130,1958,Sweden,2,0,Soviet Union,3,0
131,1958,France,4,0,Northern Ireland,3,0
132,1958,Sweden,3,1,Germany,3,0
133,1958,Brazil,5,2,France,3,0
134,1958,France,6,3,Germany,3,0
135,1958,Brazil,5,2,Sweden,3,0
136,1962,Uruguay,2,1,Colombia,3,0
137,1962,Brazil,2,0,Mexico,3,0
138,1962,Argentina,1,0,Bulgaria,3,0
139,1962,Chile,3,1,Switzerland,3,0
140,1962,Soviet Union,2,0,Yugoslavia,3,0
141,1962,Czechoslovakia,1,0,Spain,3,0
142,1962,Hungary,2,1,England,3,0
143,1962,Germany,0,0,Italy,1,1
144,1962,Yugoslavia,3,1,Uruguay,3,0
145,1962,Brazil,0,0,Czechoslovakia,1,1
146,1962,England,3,1,Argentina,3,0
147,1962,Chile,2,0,Italy,3,0
148,1962,Soviet Union,4,4,Colombia,1,1
149,1962,Spain,1,0,Mexico,3,0
150,1962,Hungary,6,1,Bulgaria,3,0
151,1962,Germany,2,1,Switzerland,3,0
152,1962,Soviet Union,2,1,Uruguay,3,0
153,1962,Brazil,2,1,Spain,3,0
154,1962,Hungary,0,0,Argentina,1,1
155,1962,Germany,2,0,Chile,3,0
156,1962,Yugoslavia,5,0,Colombia,3,0
157,1962,Mexico,3,1,Czechoslovakia,3,0
158,1962,England,0,0,Bulgaria,1,1
159,1962,Italy,3,0,Switzerland,3,0
160,1962,Chile,2,1,Soviet Union,3,0
161,1962,Brazil,3,1,England,3,0
162,1962,Czechoslovakia,1,0,Hungary,3,0
163,1962,Yugoslavia,1,0,Germany,3,0
164,1962,Czechoslovakia,3,1,Yugoslavia,3,0
165,1962,Brazil,4,2,Chile,3,0
166,1962,Chile,1,0,Yugoslavia,3,0
167,1962,Brazil,3,1,Czechoslovakia,3,0
168,1966,England,0,0,Uruguay,1,1
169,1966,Germany,5,0,Switzerland,3,0
170,1966,Brazil,2,0,Bulgaria,3,0
171,1966,Soviet Union,3,0,Korea DPR,3,0
172,1966,France,1,1,Mexico,1,1
173,1966,Portugal,3,1,Hungary,3,0
174,1966,Argentina,2,1,Spain,3,0
175,1966,Italy,2,0,Chile,3,0
176,1966,Uruguay,2,1,France,3,0
177,1966,Spain,2,1,Switzerland,3,0
178,1966,Hungary,3,1,Brazil,3,0
179,1966,Korea DPR,1,1,Chile,1,1
180,1966,Portugal,3,0,Bulgaria,3,0
181,1966,Germany,0,0,Argentina,1,1
182,1966,Soviet Union,1,0,Italy,3,0
183,1966,England,2,0,Mexico,3,0
184,1966,Uruguay,0,0,Mexico,1,1
185,1966,Argentina,2,0,Switzerland,3,0
186,1966,Portugal,3,1,Brazil,3,0
187,1966,Korea DPR,1,0,Italy,3,0
188,1966,England,2,0,France,3,0
189,1966,Hungary,3,1,Bulgaria,3,0
190,1966,Germany,2,1,Spain,3,0
191,1966,Soviet Union,2,1,Chile,3,0
192,1966,England,1,0,Argentina,3,0
193,1966,Germany,4,0,Uruguay,3,0
194,1966,Soviet Union,2,1,Hungary,3,0
195,1966,Portugal,5,3,Korea DPR,3,0
196,1966,Germany,2,1,Soviet Union,3,0
197,1966,England,2,1,Portugal,3,0
198,1966,Portugal,2,1,Soviet Union,3,0
199,1966,England,4,2,Germany,3,0
200,1970,Mexico,0,0,Soviet Union,1,1
201,1970,Uruguay,2,0,Israel,3,0
202,1970,Peru,3,2,Bulgaria,3,0
203,1970,England,1,0,Romania,3,0
204,1970,Italy,1,0,Sweden,3,0
205,1970,Germany,2,1,Morocco,3,0
206,1970,Brazil,4,1,Czechoslovakia,3,0
207,1970,Belgium,3,0,El Salvador,3,0
208,1970,Uruguay,0,0,Italy,1,1
209,1970,Peru,3,0,Morocco,3,0
210,1970,Romania,2,1,Czechoslovakia,3,0
211,1970,Soviet Union,4,1,Belgium,3,0
212,1970,Sweden,1,1,Israel,1,1
213,1970,Germany,5,2,Bulgaria,3,0
214,1970,Brazil,1,0,England,3,0
215,1970,Mexico,4,0,El Salvador,3,0
216,1970,Sweden,1,0,Uruguay,3,0
217,1970,Germany,3,1,Peru,3,0
218,1970,Brazil,3,2,Romania,3,0
219,1970,Soviet Union,2,0,El Salvador,3,0
220,1970,Italy,0,0,Israel,1,1
221,1970,Bulgaria,1,1,Morocco,1,1
